Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,min_salary,max_salary,avg_salary,company_txt,job_state,age,python_yn,R_yn,spark_yn,aws_yn,excel_yn,SQL_yn,tableau_yn
Messaging Specialist,$9-$14 Per Hour(Glassdoor est.),"Because you belong at Twilio

The Who, What, Why and Where

Twilio is seeking an exceptional and passionate GTM Specialist to join our Global BD organization. We work closely with Twilio R&D and GTM organizations to serve as the operational glue for new business initiatives. To be successful in this role, you will demonstrate your business acumen in combination with a deep understanding of processes to guide decision-making, tackle problems operationally, and provide analytical insight and business judgment to support key initiatives across our business. You know how to translate strategy into execution by affecting change across people, process, technology, data, policy, both internally, and externally etc. You have an appreciation for simplification and increasing the ease of doing business - and you are known for rolling up your sleeves to co-create high-quality solutions with business and technical teams.

Who?
5-10 years of experience in business strategy, management consulting, corporate international expansion, or innovation management within the software/technology/training industry
A natural problem-solver and strategic thinker. You are comfortable with ambiguity and 80/20 thinking to quickly tease through complexity and bring structure to chaos. You effectively identify and articulate implications up and downstream, taking action or escalating as appropriate.
You have a passion for solving customer problems through communication tools and demonstrate a strong understanding of the messaging space.
Experience engaging and influencing senior business leaders, with strong familiarity regarding go-to-market launch requirements, international business dynamics, and market feedback-loop mechanisms
Demonstrated experience working and communicating with multiple stakeholders and cross functional teams, including sales account management, business development, product management, product marketing, program management, legal, as well as partner communities
You communicate effectively, especially the written word and provide clear materials and so-whats, with actionable synthesis and recommendations.
Highly collaborative, and partner-oriented professionally.
What?
Become the business partner to the teams within our product organization driving new and existing initiatives
Build the go-to-market plan, clearly defining market segments, customer base, potential partners and execute on said plan
Partner with and support business owners across functions, to work on top priority strategic projects – from new growth initiatives and business models
Be the subject matter expert (SME) for all BU related operational norms, business data, and operational systems.
Lead global initiatives with global partner leaders and ensure proper and clear communication across segments and functions.
Design, develop, maintain and improve critical business dashboards and drive management visibility to support go-to-market efforts and outcomes. Provide leadership insights and recommendations based on the data.
Provide operational support through business insights.
Where?

We employ diverse talent from all over the world and we believe great work can be done anywhere. Around the world, Twilio offers benefits and perks to support the physical, financial, and emotional well being of you and your loved ones. No matter where you are based, you will experience a company that believes in small teams for maximum impact; seeks well-rounded talent to ensure a full perspective on our customers' experience, understands that this is a marathon, not a sprint; that continuously and purposefully builds an inclusive culture that empowers everyone to do their best work and be the best version of themselves.

About us:

Millions of developers around the world have used Twilio to unlock the magic of communications to improve any human experience. Twilio has democratized communications channels like voice, text, chat, video and email by virtualizing the world's communications infrastructure through APIs that are simple enough for any developer to use, yet robust enough to power the world's most demanding applications. By making communications a part of every software developer's toolkit, Twilio is enabling innovators across every industry — from emerging leaders to the world's largest organizations — to reinvent how companies engage with their customers.",4.0,"Twilio
4.0",Remote,-1,1001 to 5000 Employees,2008,Company - Public,Internet,Information Technology,$1 to $2 billion (USD),-1,1,9,14,11.5,"Twilio
",Remote,12,0,0,0,0,0,0,0
Customer Service Representative $17.00/hour,$9-$14 Per Hour(Glassdoor est.),"POSITION PURPOSE
The Customer Service Representative s role is to provide quality professional customer service that consistently meets or exceeds Company standards of excellence and customer expectations. The position is directly responsible for creating, maintaining and improving customer relationships while interacting with customers on a daily basis during sales and product inquiry transactions. Position is also directly responsible for meeting and/or exceeding sales, individual service quality and various related department goals.

MAJOR TASKS, RESPONSIBILITIES AND KEY ACCOUNTABILITIES
Guides customers through their online shopping experience via chat sessions. Promptly assesses customer needs and proactively provides solutions. Assists customers with navigating through the HD websites and leads them to a product that meets their needs. Effectively & routinely balances multiple customers. Offers up-sells and attachment items on customer purchases where applicable.
Drives repeat business by providing, excellent service, accurate and thorough product and service knowledge to customers and through relationship building with customers.
Keeps customers informed on the status of their order, reconciles errors in a cost effective manner, resolves post-order issues such as returns and follows up to ensure all customer needs are fulfilled.
Meets or exceeds scorecard requirements for productivity, schedule adherence, quality and attendance. Completes assignments accurately despite a large workload.

NATURE AND SCOPE
Position reports to Supervisor Customer Service
No direct responsibility for supervising others.

ENVIRONMENTAL JOB REQUIREMENTS
Environment:
Located in a comfortable indoor area. Any unpleasant conditions would be infrequent and not objectionable.

Travel:
Typically requires overnight travel less than 10% of the time.

MINIMUM QUALIFICATIONS
Must be eighteen years of age or older.
Must be legally permitted to work in the United States.

Education Required: HS Diploma/GED

Years of Relevant Work Experience: 0 years

Physical Requirements:
Most of the time is spent sitting in a comfortable position and there is frequent opportunity to move about. On rare occasions there may be a need to move or lift light articles. Located in a comfortable indoor area. Any unpleasant conditions would be infrequent and not objectionable.

Preferred Qualifications:
College Degree preferred
1 year of customer service or retail sales experience is preferred.
1 year of messaging/chat experience in a call center environment
Skills, Abilities and Competencies:Skilled at consistently providing outstanding customer service, following through on responsibilities to customers and recovering from any errors made.
Demonstrated ability to complete projects and assignments accurately, despite a large workload, competing demands and a fast paced environment.
Skilled at effectively assessing customer audience and adjusting style and tone of written correspondence to match that of the customer.
Demonstrated broad based knowledge of Home Depot product offerings.",3.7,"Home Depot
3.7","Ogden, UT",-1,10000+ Employees,1978,Company - Public,-1,-1,$10+ billion (USD),-1,1,9,14,11.5,"Home Depot
",UT,42,0,0,0,0,1,0,0
Controller / HR,$9-$14 Per Hour(Glassdoor est.),"CONTROLLER/HR*Company Information: Position covers a group of companies commonly owned. The primary entity is a National Construction Company as well as a Ranch and Resort located in Preston Idaho. Office is located in Preston.A good candidate for our Controller/HR position requires a candidate that is detail-oriented and proficient in Quickbooks, Excel and other Office software.*Benefits: ** Health and Dental Insurance* 401k* Paid time off*Candidate will be able to: ** Enter all data into Quickbooks and Coordinate with 3rd party CPA. Produce Monthly and Quarterly reports on AR/AP and company financials for Bonding and Financial partners, etc.* Set up financial controls and budgets for future company needs. Prepare checks for company expenses. Identify control weaknesses, regulatory compliance issues, and other areas of risk.* Work with owner and executive team for planning and reporting as needed.* Complete audit assignments in an efficient and timely manner (i.e., by the budgeted/estimated dates and provide updates to management as needed).* Prepare payroll for all company employees and coordinate benefits as well as pay payroll taxes and regulatory compliance for HR.* Adapt documentation and procedures for company needs.* Keep financials and HR records confidential.*Requirements: ** 3+ years of public or private accounting* Proficient with Quickbooks and Office software*Preferred: ** The perfect candidate will have a bachelors or master’s degree in accounting or finance along with their CPA license*Job Hours: *Monday-Friday 8 AM to 5 PM with extended hours on occasion*Job Type: * Full-time*Pay: * $48,000.00 - $54,000.00 BOE, per year (starting salary)Job Type: Full-timePay: $48,000.00 - $54,000.00 per yearBenefits:* 401(k) matching* Dental insurance* Health insurance* Paid time offSchedule:* 8 hour shiftExperience:* Accounting: 3 years (Required)* controller: 3 years (Preferred)Education:* Bachelor's (Preferred)License:* A valid CPA CMA or other related accounting designation (Preferred)This Company Describes Its Culture as:* Detail-oriented -- quality and precision-focused* Outcome-oriented -- results-focused with strong performance culture* Stable -- traditional, stable, strong processes* People-oriented -- supportive and fairness-focused* Team-oriented -- cooperative and collaborativeBenefit Conditions:* Waiting period may apply* Only full-time employees eligibleWork Remotely:* No",-1.0,"Day Builders, Inc.","Preston, ID",-1,1 to 50 Employees,-1,Company - Private,Architectural & Engineering Services,Business Services,Less than $1 million (USD),-1,1,9,14,11.5,"Day Builders, Inc.",ID,-1,0,0,0,0,1,0,0
Peddle Route Driver,$9-$14 Per Hour(Glassdoor est.),"Five Star Transport Solutions, Inc. is currently hiring FULL TIME ROUTE DRIVERS; this job gets you home Everyday! You will be delivering milk products to area schools, grocery stores, and business.**Qualifications Needed: *· At least 18 years old· Have a Class A CDL· Able to lift 25+ lbs.· Able to pass the DOT Physical exam & Drug Screen· Have a good Driving Record· Flexible Schedule is a MUST - We operate 7 days a week!· A good work ethic and desire to succeed!· Customer service experience is a plusYou will receive:· *Competitive Wages! *Call for information!· *Weekly Pay/Direct Deposit!*· *Weekly Safety Bonuses (Avg. $31.00/wk)*· *Sign On Bonus of $2500!*· Health Insurance; 60% Employer paid premiums! (Eligible after 30 days of employment)· 401K; Employer match of up to 4%· Short & Long Term Disability, Life Insurance, All Company Sponsored at no cost to you!· (*10*) PTO/Vacation Days· Paid Holidays· Uniforms provided!We are a family owned/operated company that puts Employees FIRST!Submit resume on Indeed or email a request for an application.\*Have a Great Day......and Drive Safely!Five Star Transport Solutions provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, Five Star Transport Solutions complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.Job Type: Full-timePay: $19.25 - $20.00 per hourBenefits:* 401(k)* 401(k) Matching* Dental Insurance* Disability Insurance* Health Insurance* Life Insurance* Paid Time Off* Retirement Plan* Vision InsuranceSchedule:* Day shiftSupplemental Pay:* Signing BonusTrucking Route:* Local DriverExperience:* CDL Class A driving: 1 year (Preferred)License:* CDL Class A (Required)Work Location:* On the roadType of Freight:* ReeferThis Job Is Ideal for Someone Who Is:* Dependable -- more reliable than spontaneous* People-oriented -- enjoys interacting with people and working on group projects* Detail-oriented -- would rather focus on the details of work than the bigger pictureBenefit Conditions:* Waiting period may apply* Only full-time employees eligibleWork Remotely:* No",-1.0,Five Star Transport Solutions,"Saint Joseph, MN",-1,51 to 200 Employees,-1,Unknown,-1,-1,Less than $1 million (USD),-1,1,9,14,11.5,Five Star Transport Solutions,MN,-1,0,0,0,1,0,0,0
Tax Accountant,$9-$14 Per Hour(Glassdoor est.),"Join our growing team of full service agricultural financial experts.**Farm Credit Services of Mandan **has a full time Tax Accountant position available. *The position can be located out of our Dickinson or Mandan office with some day travel to branch locations required. The Tax Accountant position is responsible for tax preparation and consultation services to clients engaged in agriculture. We offer competitive compensation with base plus incentive pay; excellent benefit package; job training and continuing education; and work/life balance flexibility. Bachelor's degree in accounting, business administration, or related field desired or Associate's degree with 4+ years of tax experience. CPA or Enrolled Agent status or ability to attain that upon employment required. Minimum of one year tax preparation experience desired.Email resume, cover letter and application form found on our website to: *Mandan.HRDept (at) farmcreditmandan.com **EEO / AAP – M,F, Veterans, Disability**_\*Farm Credit Services of Mandan is not a CPA/LPA firm_*Job Type: Full-timeBenefits:* 401(k)* 401(k) matching* Dental insurance* Disability insurance* Employee assistance program* Flexible schedule* Flexible spending account* Health insurance* Life insurance* Paid time off* Professional development assistance* Referral program* Retirement plan* Vision insuranceSchedule:* Monday to FridaySupplemental Pay:* Bonus payEducation:* Bachelor's (Required)Location:* Mandan, ND 58554 (Required)Company's website:* http://www.farmcreditmandan.com/careersBenefit Conditions:* Only full-time employees eligibleWork Remotely:* No",4.3,"Farm Credit Services
4.3","Mandan, ND",-1,1001 to 5000 Employees,1916,Other Organization,Lending,Finance,Unknown / Non-Applicable,-1,1,9,14,11.5,"Farm Credit Services
",ND,104,0,0,0,0,1,0,0
Medical Support Assistant,$9-$14 Per Hour(Glassdoor est.),"Must have Medical Assistant Certificate. This position is responsible for assisting clinicians in providing medical care, as well as, direct patient care. This position requires knowledge and skill to provide an excellent patient experience.*Essential Functions** prepare patients for exam and treatment including vital signs and medical history.* Assists providers with exams and minor ER procedures* coordinates and manages patient care including referrals, authorizations, prescriptions.* provides clerical support* maintain a stocked, clean, functional center including cleaning and disinfection* inventory of supplies and stocks care areas*Minimum Qualifications*High school diploma/GED or equivalent working knowledge. BLS certification for healthcare professionals. Requires computer skills, including the ability to work with medical software. Requires exceptional interpersonal and communication skills.Job Type: Full-timePay: $18.00 - $20.00 per hourSchedule:* 8 hour shiftExperience:* Medical Terminology: 1 year (Preferred)Education:* High school or equivalent (Required)Work Remotely:* No",4.8,"TribalEM
4.8","Sells, AZ",-1,1 to 50 Employees,2015,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,1,9,14,11.5,"TribalEM
",AZ,5,0,0,0,0,1,0,0
Overnight Clinical Assistant,$9-$14 Per Hour(Glassdoor est.),"We are seeking a qualified individual for Clinical Assistant to work in a non-profit adolescent residential treatment facility. The successful candidate is looking to make a difference in a young person’s life by providing guidance and direction.

Why work for us?

MRC is located in Memphis’s Midtown neighborhood with three facilities. As a company
operating for 50 years and employing over 70 employees, we provide a work culture
that is invested in their employees.
25% of our employees have over ten years of employment with MRC
41% of our employees were promoted to their current position from within the company

Responsibilities (include):
Teach, coach and supervise clients in activities of daily living including morning, bedtime and overnight procedures, hygiene and cleanliness, housekeeping, meals, sports, academics, and extracurricular activities both on and off campus
Provide general supervision and rule enforcement
Documentation regarding patient care
Assists in the transportation of clients as necessary in agency vehicles.
Requirements:
High School diploma or GED is required.
Previous experience with adolescents preferred
Ability to climb up and down stairs
Have a valid driver’s license
Shift: Overnight, includes one weekly day-time staff meeting

Benefits:
Health, Vision, and Dental Insurance
Life Insurance
Long term disability
Company Matched 401K
Accrued Time Off and Sick Leave
Graduate Level Education Benefits",2.0,"Memphis Recovery Centers
2.0","Memphis, TN",-1,51 to 200 Employees,1970,Unknown,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,1,9,14,11.5,"Memphis Recovery Centers
",TN,50,0,0,0,0,0,0,0
Rosebud Office Solutions Administrative Assistant,$9-$14 Per Hour(Glassdoor est.),"27565 RESEARCH PARK DRIVE **POST OFFICE BOX 236 **MISSION, SOUTH DAKOTA 57555 **PHONE: 605.856.8400 **JOB DESCRIPTION **COMPANY: *Rosebud Office Solutions*POSITION: *Administrative Assistant*REPORT: *Rosebud Office Solutions Daily Operations Manager*CLASSIFICATION: *Non-Exempt*LOCATION: *REDCO Headquarters Mission, SD*JOB SUMMARY: *The administrative assistant will assist the Daily Operations Manager in maintaining the ROS business office by answering phones, maintaining paperwork, filing, data entry, vendor management and entering invoices.*RESPONSIBILITIES: *• Assisting customers via email, telephone, social media or in person. (inside sales)• Creating quotes, Invoicing and Purchasing daily orders for customers• Creating purchase orders and data entry in our software system• Receiving payments and creating deposit slips.• Maintaining a thorough and professional physical and electronic filing system.• Ordering supplies and equipment for ROS.• Editing forms and uploading to Basecamp.• Other duties as assigned.*REQUIREMENTS: *• High School Diploma/GED required.• Excellent verbal and written communication skills.• Possess the ability to multitask.• Possess the ability to work in a high functioning, fast-paced work environment.• Microsoft office proficient.• Prioritizing, time management and organizational skills.*27565 RESEARCH PARK DRIVE **POST OFFICE BOX 236 **MISSION, SOUTH DAKOTA 57555 **PHONE: 605.856.8400 **COMPENSATION: *Salary based on education, qualifications, experience, and salary history. The position is classified as an_Administrative Assistant_ position according to the Bureau of Labor Statistics wage scale.*CERTIFICATIONS *I have read and understand this job description.\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_Employee Signature DateJob Description Approved:\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_Chief Executive Director, REDCO\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_Chairman, Board of DirectorsJob Type: Full-timePay: $15.00 per hourBenefits:* Dental Insurance* Health Insurance* Life Insurance* Paid Time Off* Professional Development Assistance* Retirement Plan* Vision InsuranceSchedule:* 8 Hour Shift* Day shift* Monday to FridayCOVID-19 considerations:Workplace Safety Guidelines in placeExperience:* Data Entry: 1 year (Preferred)* administrative assistant: 1 year (Preferred)* 10 Key: 1 year (Preferred)* QuickBooks: 1 year (Preferred)Education:* High school or equivalent (Preferred)Work Location:* One locationThis Job Is:* A job for which all ages, including older job seekers, are encouraged to apply* Open to applicants who do not have a college diplomaHuman Resources Duties:* Hiring and onboarding* Maintaining employee recordsFinancial Duties:* Invoicing customersCompany's website:* www.sicangucorp.comBenefit Conditions:* Waiting period may apply* Only full-time employees eligibleWork Remotely:* No",-1.0,Rosebud Economic Development Corporation,"Mission, SD",-1,1 to 50 Employees,-1,Nonprofit Organization,-1,-1,Less than $1 million (USD),-1,1,9,14,11.5,Rosebud Economic Development Corporation,SD,-1,0,0,0,0,1,0,0
Maintenance Worker,$9-$14 Per Hour(Glassdoor est.),"Maintenance Position: Part-Time (Monday - Friday 24 hours per week, weekends as needed.** *Daily repair and upkeep of the property including work orders** *Learn and complete minor work orders such as snake toilets, snake drains, clear slow draining tubs, adjust/replace door closure, remove/replace caulking and replace locks, deadbolts and passage locks.** *Learn and complete basic plumbing work orders such as repair leaking faucets, replace faucets, and replace different components of toilets such as flapper, toilet handle and ball cocks.** *Learn and complete basic electrical work orders such as replacing electrical outlet plates and electrical wall switches.** *Minor appliance repair** *Troubleshoot maintenance issues, diagnose problems, replace and/or repair parts, test and make necessary adjustments to ensure issues are resolved.** *Some carpentry ** *Maintains grounds as assigned which may include trash pick-up, shoveling if needed at time, and sweeping curb/dumpster area, maintaining landscape plants,beds and other areas.** *Moves appliances as needed** *Timely preparation of vacant units for occupancy which may include cleaning responsibilities (if needed to help)** *Consults with the Site Manager on at least a daily basis the status of work orders, projects, apartment/townhomes turns, and other maintenance items on the property.** *Responsible for the care, maintenance and inventory of all supplies and equipment owned by the property and/or the management company.** *Responsible for the supply, upkeep and insurance of all personal tools as required.** *Demonstrates courteous and efficient customer service at all times.** *Required to work on an on-call basis if needed (provide emergency/unscheduled repairs as needed.)**PHYSICAL REQUIREMENTS* Ability to push, pull and lift 50 pounds, Ability to kneel, crouch and stoop, Ability to reach above and below the shoulders, Ability to use hands and fingers to grasp, twist and pull, Ability to climb a ladder and work above ground. Walking and stair climbing, Withstand external weather conditions.Job Type: Part-timePay: $18.00 - $19.00 per hourBenefits:* Flexible schedule* Paid time offSchedule:* Monday to Friday* On callExperience:* Maintenance: 2 years (Required)Location:* Cokato, MN 55321 (Preferred)License:* MN (Required)Work Location:* Multiple locationsPay Frequency:* MonthlyThis Job Is Ideal for Someone Who Is:* Dependable -- more reliable than spontaneous* People-oriented -- enjoys interacting with people and working on group projects* Adaptable/flexible -- enjoys doing work that requires frequent shifts in direction* Detail-oriented -- would rather focus on the details of work than the bigger picture* Autonomous/Independent -- enjoys working with little directionThis Job Is:* A job for which all ages, including older job seekers, are encouraged to applyBenefit Conditions:* Waiting period may applyWork Remotely:* No",-1.0,SMR Management,"Cokato, MN",-1,51 to 200 Employees,-1,Company - Public,-1,-1,Less than $1 million (USD),-1,1,9,14,11.5,SMR Management,MN,-1,0,0,0,0,0,0,0
Inclusion Specialist,$9-$14 Per Hour(Glassdoor est.),"JOB DESCRIPTION SUMMARY*To provide support to members with special needs to ensure their success in the KIDSTOP program.*ESSENTIAL DUTIES and RESPONSIBILITIES** Ensure that members with special needs or behavior issues are modeling appropriate behavior that is in line with KIDSTOP expectations.* Ability to implement behavior management skills that are appropriate for each individual member under supervision.* Ability to identify behavior triggers and effectively de-escalate destructive situations in a professional and respectful manner.* May assist special needs individuals in a group setting or provide one-on-one assistance/programming.* Be able to appropriately handle toileting and hygiene issues as needed* Participate as an active, positive team member with supervisor, other staff, volunteers, and members at all times by communicating effectively.* Ensure a productive work environment by participating in staff meetings.*ADDITIONAL RESPONSIBILITIES** Plan and lead special programs and/or events at site.* Responsible for care and maintenance of program equipment, supplies and facility including clean up and proper use.*REQUIRED KNOWLEDGE, SKILLS, and ABILITIES** Ability to relate well with members in KIDSTOP group environment.* Ability to communicate effectively with parents.* Ability to be flexible, adaptable and mobile when supervising special needs members.* Is aware of KIDSTOP policies and will abide by them.* Ability to remain calm and positive in stressful situations.*EDUCATION and WORK EXPERIENCE**Education *High school diploma or equivalent and must be 18 years of age. Prefer some classes in Special Education.*Experience *Three to six months of experience working with specialneeds children preferred.*FUNDAMENTAL RELATIONSHIPS *Maintains close, daily contact with Club members, parents and supervisor to receive/provide information, discuss issues and explain guidelines/ instructions. Be able to communicate daily updates to parents. Maintains positive relations with school personnel, the general public and member families at all times.*PHYSICAL REQUIREMENTS**Visual: *Normal acuity required daily for making color distinction, depth of sight, 2 hours*Communication: *Able to express thoughts and ideas in an accurate and understandable manner through verbal and written format with internal and external contacts 3 hours per day*Movement: *Ability to maneuver within work site 4-5 hours per day*Lifting/Pulling/Pushing/Carrying: *Able to comfortably move and manipulate up to 40 lbs. of weight up to 4 hours per dayJob Type: Part-timePay: $10.64 per hourSchedule:* Monday to FridayCOVID-19 considerations:BGCMN has a comprehensive COVID-19 Preparedness Plan which is very important to the overall safety and protection of staff in the office and at site. BGCMN mandates masks, social distancing and disinfects surfaces daily.Education:* High school or equivalent (Preferred)Work Location:* Multiple locationsHours per week:* 10-19* 20-29Company's website:* www.bgcmn.orgCompany's Facebook page:* facebook.com/BGCMN/Benefit Conditions:* Only full-time employees eligible",3.9,"Boys and Girls Club of Central MN
3.9","Saint Cloud, MN",-1,501 to 1000 Employees,1860,Nonprofit Organization,Social Assistance,Non-Profit,$1 to $2 billion (USD),-1,1,9,14,11.5,"Boys and Girls Club of Central MN
",MN,160,0,0,0,0,0,0,0
